subgroup,auc(95%CI),threshold,specificity,sensitivity,youden,variable,auc(95%CI)
RF-/CCP-vs non_RF-/CCP-,0.385(0.23-0.54),0.562,0.509,0.545,0.054,46898116,0.385
RF-/CCP-vs non_RF-/CCP-,0.694(0.542-0.846),0.794,0.7,0.727,0.427,46898066,0.694
RF-/CCP-vs non_RF-/CCP-,0.68(0.531-0.829),0.821,0.648,0.727,0.375,46898048,0.68
RF-/CCP-vs non_RF-/CCP-,0.699(0.546-0.851),0.808,0.683,0.727,0.41,46898042,0.699
RF-/CCP-vs non_RF-/CCP-,0.657(0.478-0.836),0.88,0.526,0.818,0.344,46898024,0.657
RF-/CCP-vs non_RF-/CCP-,0.642(0.447-0.837),0.869,0.865,0.455,0.32,46898006,0.642
RF-/CCP-vs non_RF-/CCP-,0.671(0.485-0.856),0.914,0.652,0.727,0.379,46898004,0.671
RF-/CCP-vs non_RF-/CCP-,0.681(0.521-0.842),0.808,0.639,0.727,0.366,cg15692052_average,0.681
RF+/CCP+vs non_RF+/CCP+,0.504(0.422-0.586),0.557,0.603,0.494,0.098,46898116,0.504
RF+/CCP+vs non_RF+/CCP+,0.534(0.452-0.616),0.82,0.54,0.573,0.113,46898066,0.534
RF+/CCP+vs non_RF+/CCP+,0.548(0.466-0.63),0.841,0.619,0.517,0.136,46898048,0.548
RF+/CCP+vs non_RF+/CCP+,0.555(0.472-0.637),0.811,0.46,0.674,0.134,46898042,0.555
RF+/CCP+vs non_RF+/CCP+,0.552(0.467-0.638),0.88,0.635,0.562,0.197,46898024,0.552
RF+/CCP+vs non_RF+/CCP+,0.565(0.478-0.651),0.907,0.603,0.59,0.193,46898006,0.565
RF+/CCP+vs non_RF+/CCP+,0.566(0.479-0.653),0.908,0.413,0.764,0.177,46898004,0.566
RF+/CCP+vs non_RF+/CCP+,0.546(0.463-0.63),0.824,0.603,0.567,0.171,cg15692052_average,0.546
RF-/CCP+vs non_RF-/CCP+,0.512(0.388-0.637),0.524,0.737,0.375,0.112,46898116,0.512
RF-/CCP+vs non_RF-/CCP+,0.522(0.401-0.643),0.823,0.53,0.583,0.113,46898066,0.522
RF-/CCP+vs non_RF-/CCP+,0.562(0.445-0.68),0.83,0.608,0.625,0.233,46898048,0.562
RF-/CCP+vs non_RF-/CCP+,0.548(0.425-0.671),0.826,0.553,0.625,0.178,46898042,0.548
RF-/CCP+vs non_RF-/CCP+,0.543(0.41-0.677),0.874,0.608,0.625,0.233,46898024,0.543
RF-/CCP+vs non_RF-/CCP+,0.549(0.418-0.68),0.892,0.728,0.5,0.228,46898006,0.549
RF-/CCP+vs non_RF-/CCP+,0.535(0.403-0.668),0.907,0.737,0.417,0.154,46898004,0.535
RF-/CCP+vs non_RF-/CCP+,0.543(0.417-0.668),0.826,0.521,0.667,0.187,cg15692052_average,0.543
RF+/CCP-vs non_RF+/CCP-,0.511(0.289-0.733),0.588,0.652,0.5,0.152,46898116,0.511
RF+/CCP-vs non_RF+/CCP-,0.501(0.265-0.736),0.853,0.704,0.5,0.204,46898066,0.501
RF+/CCP-vs non_RF+/CCP-,0.502(0.247-0.756),0.89,0.828,0.375,0.203,46898048,0.502
RF+/CCP-vs non_RF+/CCP-,0.541(0.294-0.788),0.741,0.948,0.25,0.198,46898042,0.541
RF+/CCP-vs non_RF+/CCP-,0.439(0.213-0.664),0.88,0.476,0.625,0.101,46898024,0.439
RF+/CCP-vs non_RF+/CCP-,0.562(0.307-0.817),0.866,0.876,0.375,0.251,46898006,0.562
RF+/CCP-vs non_RF+/CCP-,0.609(0.376-0.843),0.883,0.923,0.375,0.298,46898004,0.609
RF+/CCP-vs non_RF+/CCP-,0.478(0.234-0.722),0.837,0.622,0.5,0.122,cg15692052_average,0.478
RA vs non_RA,0.706(0.633-0.779),0.796,0.633,0.722,0.355,cg15692052_average,0.706
RA vs non_RA,0.735(0.666-0.803),0.534,0.683,0.697,0.38,46898116,0.735
RA vs non_RA,0.693(0.62-0.767),0.779,0.567,0.776,0.343,46898066,0.693
RA vs non_RA,0.692(0.619-0.765),0.807,0.6,0.734,0.334,46898048,0.692
RA vs non_RA,0.683(0.607-0.759),0.789,0.567,0.78,0.347,46898042,0.683
RA vs non_RA,0.699(0.626-0.773),0.879,0.767,0.552,0.319,46898024,0.699
RA vs non_RA,0.677(0.6-0.754),0.891,0.6,0.722,0.322,46898006,0.677
RA vs non_RA,0.67(0.589-0.751),0.912,0.633,0.664,0.297,46898004,0.67
